day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
1,7,2023,34,65,21,3.2,68.1,1.5,137.0,13.6,43.9,5.9,not fire,Tipaza
21,6,2023,29,22,7,4.7,70.0,35.0,12.4,5.8,12.7,9.6,not fire,Ain Defla
28,6,2023,39,63,13,8.8,94.5,14.2,172.1,5.1,22.1,12.6,not fire,Ain Defla
29,9,2023,44,52,14,3.0,84.9,32.3,161.1,10.7,56.0,16.8,not fire,Chlef
1,7,2023,37,66,20,3.9,61.7,2.1,154.2,11.4,55.9,19.0,not fire,Chlef
16,6,2023,33,77,20,4.5,63.8,5.5,117.9,11.9,22.9,5.1,not fire,Guelma
8,6,2023,33,66,24,9.4,79.7,26.8,267.1,3.7,39.2,17.0,not fire,Chlef
28,7,2023,29,86,22,4.8,59.3,13.5,76.2,2.2,40.6,11.9,not fire,Bouira
3,9,2023,38,76,10,8.2,54.3,20.5,145.5,11.9,53.3,0.1,not fire,Bejaia
15,7,2023,25,54,16,9.7,76.3,39.1,174.9,10.6,11.7,2.1,not fire,Jijel
29,9,2023,28,58,23,2.4,58.0,37.0,194.8,4.9,21.1,19.9,not fire,Tipaza
26,9,2023,44,41,5,7.3,55.1,5.6,151.5,13.7,25.6,4.7,not fire,Tizi Ouzou
4,8,2023,38,86,19,8.0,74.8,20.5,66.3,10.3,22.8,19.7,not fire,El Tarf
19,7,2023,44,77,24,4.6,75.9,30.9,65.6,6.6,39.0,12.9,not fire,Jijel
7,6,2023,39,55,8,7.2,84.4,25.9,258.1,9.6,14.4,18.9,not fire,Chlef
4,7,2023,28,65,11,8.1,64.2,35.3,241.2,12.5,13.8,5.9,not fire,Tizi Ouzou
27,7,2023,25,31,10,2.7,62.1,25.8,295.2,4.6,23.0,3.1,not fire,Tipaza
26,7,2023,34,30,21,2.5,62.5,10.8,259.3,11.2,31.7,4.3,not fire,Guelma
29,8,2023,28,71,22,8.4,88.4,18.3,49.5,14.2,22.0,17.4,not fire,Skikda
11,8,2023,40,26,8,7.9,63.0,5.1,123.3,10.0,8.4,19.4,not fire,El Tarf
8,8,2023,28,57,16,4.2,55.0,20.1,151.6,8.2,12.6,7.2,not fire,Jijel
22,6,2023,31,42,13,0.9,59.3,34.2,126.4,3.9,26.6,17.5,not fire,Ain Defla
14,7,2023,30,61,10,3.6,57.8,4.0,265.7,8.7,15.3,13.3,not fire,Jijel
22,9,2023,31,25,22,3.9,67.3,9.9,24.4,7.1,26.7,2.4,not fire,Tizi Ouzou
3,9,2023,42,24,6,7.1,86.0,27.2,178.7,5.2,36.7,3.4,not fire,Ain Defla
27,6,2023,31,49,20,2.8,82.8,33.2,248.3,9.3,28.8,0.3,not fire,Chlef
12,7,2023,33,88,12,5.1,70.1,35.4,107.1,4.6,53.1,19.2,not fire,Ain Defla
11,7,2023,36,24,11,5.8,88.5,20.8,265.8,9.5,10.8,19.2,fire,Bouira
16,8,2023,31,35,8,7.2,65.8,7.5,233.0,9.7,13.1,5.6,not fire,Skikda
10,8,2023,45,32,13,1.0,73.4,29.4,96.1,1.1,46.6,5.7,fire,Skikda
25,8,2023,35,82,11,3.5,69.9,3.2,241.3,11.6,59.4,12.7,not fire,El Tarf
20,8,2023,29,86,22,8.6,85.6,28.6,190.6,7.0,37.5,19.5,not fire,El Tarf
13,8,2023,32,24,9,2.8,85.4,9.0,293.6,13.5,28.0,12.2,not fire,Guelma
21,7,2023,40,35,11,6.4,69.1,28.9,232.6,6.5,42.5,10.9,fire,Guelma
13,7,2023,39,46,13,1.9,51.1,15.7,137.6,8.8,12.3,2.2,not fire,Bouira
1,9,2023,36,36,11,1.3,64.0,23.3,270.4,12.5,8.4,13.9,fire,El Tarf
15,9,2023,36,66,16,2.3,66.2,4.9,55.4,3.3,40.0,11.3,not fire,Jijel
9,7,2023,34,25,13,5.3,78.7,8.6,131.4,11.4,58.7,2.0,not fire,Jijel
1,7,2023,26,77,12,8.6,84.9,18.6,89.6,11.1,11.1,6.4,not fire,Bejaia
1,6,2023,32,33,15,5.1,56.9,18.5,67.6,3.5,53.2,1.7,not fire,Tizi Ouzou
15,8,2023,31,55,17,4.1,52.1,37.1,178.9,0.5,59.6,14.6,not fire,Jijel
20,6,2023,45,66,14,0.8,91.3,1.4,95.7,12.6,30.6,15.1,not fire,El Tarf
5,8,2023,38,88,17,0.7,77.9,37.5,134.3,14.7,4.7,3.6,not fire,Tipaza
5,7,2023,34,83,9,8.5,89.4,29.3,14.0,6.8,42.8,8.2,not fire,El Tarf
30,9,2023,39,60,23,7.3,88.9,1.3,148.2,13.1,24.8,16.9,not fire,Tizi Ouzou
17,6,2023,25,62,18,5.8,75.2,15.9,242.4,3.7,49.3,19.4,not fire,Tizi Ouzou
14,9,2023,38,55,13,8.1,62.1,32.8,152.2,8.5,2.4,16.5,not fire,Ain Defla
9,6,2023,39,59,24,1.6,76.8,6.4,179.7,13.8,32.3,1.1,not fire,Ain Defla
23,6,2023,29,57,13,3.5,60.4,19.3,85.7,0.2,23.2,3.6,not fire,Guelma
15,9,2023,39,63,21,3.8,51.9,15.6,212.4,12.3,6.8,6.0,not fire,Tizi Ouzou
8,9,2023,36,30,21,8.6,73.8,21.2,205.0,1.7,4.8,9.5,fire,Guelma
6,7,2023,42,76,24,2.5,89.5,22.8,177.7,7.9,48.0,16.6,not fire,Skikda
23,8,2023,33,79,13,6.9,72.8,27.2,241.0,6.7,35.0,9.4,not fire,Skikda
5,6,2023,40,44,21,5.2,87.7,3.2,172.2,11.8,30.8,2.2,not fire,Skikda
9,6,2023,42,45,14,9.2,83.0,28.0,74.0,2.8,22.6,12.7,not fire,Bejaia
14,9,2023,34,25,25,4.9,93.5,34.7,233.9,10.9,3.3,1.3,not fire,Bouira
6,6,2023,40,81,10,5.9,62.0,28.3,181.5,8.3,51.7,5.0,not fire,Chlef
16,6,2023,38,30,14,3.2,75.7,3.1,238.4,9.8,3.8,0.0,fire,Tizi Ouzou
17,9,2023,35,65,18,8.9,73.1,19.0,217.1,7.1,58.7,3.2,not fire,Tipaza
20,8,2023,39,29,10,6.1,55.4,5.1,279.4,12.7,17.5,14.8,not fire,Chlef
19,6,2023,38,24,24,9.8,89.3,12.0,157.6,12.5,9.1,3.3,fire,Bejaia
26,7,2023,43,37,8,1.2,58.5,33.3,214.1,6.9,15.3,2.8,not fire,Bouira
3,6,2023,28,44,24,2.8,91.0,1.7,158.6,3.3,3.6,15.7,not fire,Bouira
3,9,2023,38,24,13,2.4,58.1,31.1,17.4,11.9,5.0,14.1,fire,Tizi Ouzou
14,8,2023,25,67,22,9.9,79.4,33.4,226.6,6.0,47.8,7.8,not fire,Chlef
28,9,2023,31,66,21,4.1,61.0,22.2,277.0,14.4,59.9,10.7,not fire,Bejaia
17,8,2023,34,43,5,8.2,53.8,26.8,295.4,12.6,9.8,0.2,not fire,Bejaia
26,9,2023,31,84,7,4.4,51.6,7.2,143.3,3.5,38.8,5.0,not fire,El Tarf
16,7,2023,45,37,18,3.7,56.4,21.5,278.4,13.8,17.4,5.3,fire,El Tarf
19,6,2023,31,22,20,3.1,84.5,36.4,230.8,14.2,40.1,11.1,not fire,Jijel
17,6,2023,26,81,21,7.6,56.9,23.1,229.1,5.2,49.2,5.4,not fire,Tizi Ouzou
5,8,2023,26,79,19,8.5,58.7,17.7,72.2,1.1,58.7,13.1,not fire,Chlef
30,9,2023,33,27,6,7.5,82.9,6.7,89.1,13.3,3.9,10.5,not fire,Chlef
5,8,2023,29,53,15,5.6,76.9,7.1,178.9,9.4,13.3,0.4,not fire,Tipaza
22,6,2023,36,39,24,1.6,50.3,11.3,271.2,10.2,26.9,4.0,fire,Guelma
16,9,2023,43,39,25,1.8,86.5,31.3,65.4,1.1,10.4,8.5,fire,Skikda
9,7,2023,39,79,19,0.6,50.7,35.2,237.2,6.0,44.8,9.3,not fire,Ain Defla
19,8,2023,41,33,6,6.5,62.4,2.6,224.6,9.1,50.5,0.6,not fire,Chlef
2,6,2023,28,73,9,3.3,91.6,21.1,51.5,8.3,18.9,14.4,not fire,Ain Defla
14,9,2023,40,62,20,4.5,50.9,2.8,263.4,6.0,26.6,12.3,not fire,Skikda
22,7,2023,44,65,24,9.6,55.7,1.8,62.5,7.7,55.9,5.2,not fire,Chlef
16,9,2023,40,38,11,7.3,91.8,7.6,269.1,0.5,53.9,17.6,fire,Tipaza
25,8,2023,30,26,23,3.5,87.4,8.5,270.9,14.2,44.9,4.7,not fire,Jijel
28,7,2023,35,37,9,0.7,64.1,28.2,173.4,0.5,26.1,19.0,not fire,Chlef
16,9,2023,34,34,19,4.5,81.0,25.9,177.5,9.2,7.5,2.2,not fire,Guelma
3,7,2023,40,87,17,9.8,92.8,20.3,268.0,6.1,55.0,14.2,not fire,Guelma
21,9,2023,37,25,24,5.3,64.8,20.3,86.1,5.0,19.7,9.4,fire,El Tarf
6,7,2023,44,84,12,7.0,80.8,5.9,283.2,2.5,15.5,4.4,not fire,Tizi Ouzou
31,9,2023,45,78,17,7.8,54.0,23.4,147.5,7.6,8.9,7.3,not fire,Tipaza
20,8,2023,25,79,8,3.7,56.6,16.1,147.5,0.4,55.6,16.7,not fire,Skikda
10,8,2023,39,23,9,4.2,69.3,25.2,92.8,3.2,47.5,11.8,not fire,Tizi Ouzou
3,9,2023,44,51,20,8.3,65.7,12.1,219.4,1.6,7.7,16.9,not fire,Bejaia
17,7,2023,36,45,8,9.3,90.2,34.3,136.5,12.5,28.1,12.2,not fire,Tizi Ouzou
17,7,2023,31,46,19,5.1,64.6,5.7,128.8,7.2,46.2,16.3,not fire,Ain Defla
4,8,2023,29,78,8,3.7,76.8,38.6,164.6,8.2,57.5,8.0,not fire,Ain Defla
21,7,2023,35,50,10,2.9,70.6,9.8,39.7,1.7,35.4,10.0,not fire,Skikda
11,6,2023,40,30,7,0.7,65.6,3.2,137.6,1.3,55.4,19.1,not fire,Bouira
20,6,2023,31,86,7,1.3,69.6,16.1,255.8,14.7,48.7,13.5,not fire,Tipaza
23,9,2023,41,61,17,1.7,88.6,31.9,110.4,6.9,44.4,15.1,not fire,Tizi Ouzou
24,8,2023,38,31,20,6.8,85.1,18.5,247.2,12.4,55.3,16.1,fire,Chlef
30,7,2023,30,45,25,6.2,54.0,37.2,248.4,3.5,34.7,0.1,not fire,Jijel
3,9,2023,28,33,21,8.1,83.8,6.1,221.0,4.9,27.5,9.3,not fire,Jijel
30,7,2023,43,46,20,7.9,65.9,26.5,297.7,12.9,38.5,17.3,not fire,Chlef
8,7,2023,34,24,15,1.9,79.9,18.2,230.3,9.9,47.8,13.7,not fire,Jijel
3,7,2023,32,42,15,1.3,57.1,5.5,189.8,10.3,6.8,0.8,not fire,Chlef
15,8,2023,30,54,14,1.4,94.9,7.1,251.5,1.1,3.5,10.7,not fire,Tipaza
22,9,2023,41,41,9,2.6,88.5,19.5,189.0,13.9,11.3,9.3,not fire,Tipaza
7,9,2023,43,74,17,1.3,87.7,34.6,85.7,0.1,54.9,4.6,not fire,Guelma
19,6,2023,30,46,8,0.8,73.4,29.4,200.3,12.0,42.1,12.2,not fire,Ain Defla
13,9,2023,39,47,13,7.8,55.3,36.1,66.5,7.4,22.9,1.8,not fire,Tipaza
3,7,2023,31,86,24,7.7,68.2,26.8,88.0,6.7,20.0,15.5,not fire,Ain Defla
5,8,2023,38,37,10,6.7,90.1,12.6,61.8,14.9,22.4,19.4,not fire,Bouira
30,9,2023,35,36,22,8.6,52.9,14.5,183.1,4.8,56.3,8.8,not fire,Skikda
8,8,2023,32,34,20,9.3,81.8,15.9,251.7,10.7,11.1,15.7,not fire,Skikda
6,9,2023,32,59,5,4.0,54.9,34.3,86.1,14.7,44.1,4.4,not fire,Jijel
8,8,2023,27,75,21,5.6,84.3,6.9,20.7,5.4,4.3,0.1,not fire,Skikda
22,8,2023,32,90,21,8.8,94.0,33.0,167.0,0.9,55.4,19.2,not fire,Ain Defla
7,7,2023,31,82,10,9.4,89.5,10.9,175.3,2.4,22.1,8.3,not fire,Bouira
10,9,2023,45,31,20,7.2,80.2,14.5,66.1,0.2,9.3,18.8,fire,Chlef
29,7,2023,25,29,20,4.2,92.6,23.7,275.2,1.9,55.2,5.9,not fire,Tizi Ouzou
28,9,2023,32,42,20,7.7,50.6,14.7,249.6,10.4,12.9,15.0,not fire,Bouira
2,8,2023,37,85,15,8.1,82.4,1.1,105.7,5.8,16.3,11.7,not fire,Guelma
7,9,2023,33,46,23,3.4,83.2,39.8,33.4,7.4,43.0,3.9,not fire,Skikda
20,7,2023,27,64,22,8.5,60.6,3.2,277.3,8.7,1.3,5.2,not fire,Guelma
30,6,2023,35,89,24,2.4,70.5,22.3,204.7,1.5,35.7,8.5,not fire,Jijel
30,9,2023,34,23,24,8.1,72.0,39.0,156.7,5.6,53.8,18.5,not fire,Tizi Ouzou
11,9,2023,33,74,20,8.8,92.7,11.3,84.6,8.5,51.4,1.2,not fire,Jijel
18,9,2023,40,64,10,8.7,74.1,22.4,49.2,12.4,21.2,10.3,not fire,Skikda
3,8,2023,39,63,8,1.5,63.6,36.7,234.0,6.3,30.2,18.4,not fire,Guelma
23,8,2023,29,42,19,0.5,78.0,14.6,236.5,1.7,44.3,9.3,not fire,Bouira
16,6,2023,32,24,7,3.1,61.7,18.0,81.3,12.4,7.8,9.9,not fire,Guelma
18,8,2023,33,47,17,0.1,74.3,2.1,120.7,3.4,6.6,14.6,not fire,Bouira
16,7,2023,34,82,15,2.6,81.4,6.5,190.9,6.9,53.3,18.0,not fire,Tipaza
30,6,2023,44,68,10,7.4,53.5,7.3,233.4,8.1,13.5,16.8,not fire,Jijel
15,8,2023,41,64,20,3.5,54.8,23.8,289.2,12.9,56.2,9.4,not fire,Bejaia
18,7,2023,28,55,6,4.0,65.1,20.5,262.4,14.5,40.6,2.0,not fire,Guelma
30,9,2023,34,75,22,3.1,88.3,29.8,274.6,12.0,45.5,14.1,not fire,Skikda
17,9,2023,27,83,24,5.2,94.1,28.0,118.5,14.4,54.6,12.5,not fire,Jijel
13,7,2023,40,69,11,1.1,89.6,27.1,71.1,10.8,39.9,0.6,not fire,Skikda
23,6,2023,25,77,5,4.9,82.6,13.0,22.4,6.0,8.2,4.6,not fire,Tipaza
8,9,2023,39,76,12,6.0,74.3,12.7,158.7,12.1,58.0,6.7,not fire,Bejaia
14,7,2023,38,70,17,8.2,55.3,32.1,161.3,6.0,12.4,19.0,not fire,Ain Defla
23,6,2023,40,90,5,4.6,91.0,29.2,59.1,13.9,38.8,3.3,not fire,Tizi Ouzou
30,8,2023,37,51,14,8.8,82.1,30.3,217.3,11.2,22.8,1.5,not fire,Bouira
26,9,2023,39,88,16,2.3,67.8,20.6,38.2,7.3,54.7,8.5,not fire,Skikda
24,6,2023,33,55,25,2.1,88.8,39.4,215.6,12.4,8.1,2.4,not fire,Skikda
24,6,2023,34,52,22,7.3,63.6,25.5,180.7,5.0,52.9,7.3,not fire,Chlef
31,7,2023,29,22,7,0.3,58.5,30.1,133.0,4.1,19.2,8.2,not fire,Tipaza
11,8,2023,28,71,5,8.3,63.5,36.9,268.6,7.6,27.6,3.8,not fire,Tizi Ouzou
2,9,2023,26,67,15,5.5,88.2,33.6,109.0,14.2,15.5,9.6,not fire,Jijel
30,8,2023,26,37,10,0.6,77.0,31.2,110.7,13.2,37.8,8.6,not fire,Skikda
14,9,2023,26,37,11,8.8,85.9,3.5,212.6,11.6,27.1,10.7,not fire,Ain Defla
26,6,2023,33,75,22,8.7,69.6,34.9,283.1,2.4,35.8,1.7,not fire,Jijel
3,8,2023,43,47,16,5.6,80.9,1.2,27.8,14.5,29.6,1.7,not fire,Jijel
22,9,2023,35,49,6,8.7,69.5,33.2,90.6,9.3,12.7,19.5,not fire,Tipaza
8,9,2023,27,50,19,3.2,66.8,17.3,199.8,8.8,46.1,19.3,not fire,Tizi Ouzou
4,9,2023,25,30,8,3.9,69.3,3.3,241.0,14.8,17.2,2.0,not fire,Ain Defla
22,7,2023,41,46,21,1.8,88.2,33.3,252.4,7.2,8.5,5.4,not fire,Chlef
6,9,2023,39,89,16,1.1,88.4,1.2,181.3,14.7,25.5,3.9,not fire,Bejaia
6,8,2023,36,68,16,9.2,78.0,3.2,36.3,13.6,40.1,8.2,not fire,Bejaia
5,7,2023,32,87,18,4.1,69.1,23.3,251.1,13.5,17.8,14.8,not fire,Jijel
14,7,2023,36,44,22,7.0,55.6,32.1,31.1,1.3,11.5,11.2,not fire,Chlef
18,8,2023,38,29,10,7.6,53.8,34.9,273.0,14.1,15.5,10.0,not fire,Tizi Ouzou
6,9,2023,43,22,7,6.9,84.0,32.2,267.6,7.2,29.3,17.2,not fire,Guelma
15,6,2023,25,55,25,1.0,59.5,14.4,96.5,1.6,6.3,5.5,not fire,Chlef
29,8,2023,34,42,15,0.3,87.1,18.2,198.8,13.2,50.7,17.7,not fire,Bejaia
3,8,2023,41,86,23,6.8,57.5,5.6,131.4,7.4,23.3,6.1,not fire,Tizi Ouzou
13,7,2023,37,30,9,6.6,75.3,26.0,224.3,2.7,4.1,14.3,not fire,Bouira
30,8,2023,29,31,22,5.8,71.3,18.4,131.3,7.0,46.0,9.0,not fire,Tipaza
15,9,2023,25,44,24,5.6,54.2,18.4,54.3,1.9,12.5,19.4,not fire,El Tarf
18,6,2023,34,65,12,1.0,68.1,1.8,181.7,0.2,16.0,0.8,not fire,Guelma
16,6,2023,31,41,21,5.5,72.2,6.1,190.8,5.0,35.7,5.6,not fire,Skikda
20,8,2023,43,34,6,4.7,53.2,5.9,123.8,0.4,37.2,0.1,not fire,Skikda
28,7,2023,35,76,24,7.2,73.0,18.4,133.6,0.3,41.3,5.9,not fire,Skikda
31,7,2023,25,38,8,7.4,67.9,5.1,138.5,13.6,6.7,8.5,not fire,Skikda
3,7,2023,29,33,23,2.5,80.0,13.3,179.7,3.1,35.7,14.7,not fire,Bouira
26,9,2023,40,38,13,9.2,76.0,29.0,189.7,12.9,58.3,10.9,fire,Skikda
28,6,2023,39,28,17,8.2,94.6,12.5,30.1,12.9,15.6,16.6,fire,Skikda
26,7,2023,40,47,13,2.4,67.4,16.8,202.2,2.1,50.3,17.3,not fire,Guelma
27,8,2023,26,65,9,8.1,78.1,7.3,208.3,0.4,59.0,12.5,not fire,Tipaza
28,6,2023,37,64,19,8.1,65.8,9.5,229.3,8.1,26.3,3.2,not fire,Tipaza
20,9,2023,42,64,19,6.6,93.3,32.8,80.0,7.6,35.4,13.5,not fire,Tipaza
5,8,2023,41,23,5,2.6,81.7,37.4,206.8,10.7,35.5,6.9,not fire,Skikda
30,8,2023,29,29,5,2.8,80.0,17.6,200.7,0.7,35.1,10.8,not fire,Skikda
11,9,2023,37,80,20,3.7,76.5,9.8,161.9,7.0,16.8,12.2,not fire,Chlef
14,7,2023,45,28,14,0.3,77.3,18.0,142.5,12.2,43.6,16.2,fire,Chlef
1,9,2023,42,30,25,2.6,52.2,27.7,165.0,6.9,14.2,10.1,fire,Chlef
18,7,2023,35,69,11,3.1,73.4,7.4,40.8,9.1,47.0,11.2,not fire,Skikda
23,6,2023,39,65,10,2.5,84.4,29.3,275.5,13.4,23.5,9.4,not fire,Jijel
5,7,2023,37,23,19,0.9,74.8,8.3,233.3,4.2,1.4,15.9,fire,Bouira
25,9,2023,25,75,11,2.3,89.6,8.3,232.0,9.9,57.2,8.0,not fire,Bejaia
9,6,2023,39,84,11,7.6,92.2,6.5,272.9,0.3,49.9,8.4,not fire,Ain Defla
14,6,2023,30,78,20,6.2,80.2,8.5,111.1,8.3,7.3,17.3,not fire,Bouira
11,7,2023,39,42,19,2.3,68.7,10.8,266.5,4.0,19.8,5.5,not fire,Jijel
15,6,2023,34,33,6,0.3,55.2,17.3,176.4,8.2,46.6,2.9,not fire,Ain Defla
22,9,2023,30,69,23,8.0,76.4,22.1,42.9,8.3,24.9,8.4,not fire,Bejaia
26,9,2023,44,53,10,4.9,62.9,14.2,279.5,8.2,24.0,5.5,not fire,Chlef
16,9,2023,44,43,22,8.2,91.3,15.5,77.5,7.0,54.1,2.9,not fire,Skikda
9,7,2023,44,73,8,3.2,85.2,25.2,218.0,1.1,34.1,1.9,not fire,Bouira
24,9,2023,30,89,7,1.0,82.9,8.0,129.8,12.6,59.0,8.5,not fire,El Tarf
14,9,2023,27,41,17,7.3,73.2,26.2,57.7,10.9,30.8,10.7,not fire,Tipaza
25,8,2023,43,59,15,2.7,78.8,31.0,258.0,3.7,52.8,10.2,not fire,Bejaia
24,9,2023,32,64,23,9.2,86.1,29.0,67.4,5.6,20.4,1.1,not fire,Bejaia
2,7,2023,38,74,12,1.1,53.8,3.0,77.6,1.7,49.4,18.0,not fire,Tizi Ouzou
2,7,2023,41,62,13,4.1,75.5,16.9,125.7,5.9,19.3,13.0,not fire,Tizi Ouzou
27,6,2023,38,60,12,9.8,94.9,16.6,23.0,0.4,58.5,11.5,not fire,Tizi Ouzou
8,6,2023,36,32,23,4.8,63.7,14.9,143.5,13.5,14.0,8.1,fire,Bouira
2,6,2023,28,72,14,9.2,75.5,6.6,272.2,11.1,41.4,2.0,not fire,Bejaia
1,9,2023,41,78,6,3.5,90.3,34.8,251.4,10.4,4.3,14.5,not fire,Chlef
15,6,2023,29,61,22,3.9,61.6,23.1,167.4,5.7,46.0,5.0,not fire,Skikda
15,6,2023,28,68,15,7.8,82.5,27.8,139.1,3.8,38.0,9.4,not fire,Ain Defla
7,6,2023,26,56,14,8.9,65.7,21.0,274.6,13.7,28.5,18.9,not fire,Tizi Ouzou
20,8,2023,31,42,22,1.5,75.8,17.1,40.0,13.7,33.2,6.5,not fire,Tizi Ouzou
8,6,2023,32,22,18,7.0,71.6,6.6,76.9,5.1,50.1,12.5,not fire,Bouira
25,7,2023,35,47,13,9.1,78.9,37.0,277.0,8.8,24.0,18.4,not fire,Skikda
27,8,2023,35,32,14,7.5,89.1,29.7,200.2,9.1,56.0,16.1,not fire,El Tarf
